final_asset,asset_type,scientific_role,existing_candidate,source_data,plot_script,canonical_status,needs_regeneration,reason,final_output,status
Table S1,table,Calibrated parameter definitions bounds units and structural membership,manuscript/supplement/tables/TableS1_parameter_bounds.csv,models/parameter_specs.py; manuscript/results/R2/authoritative_15_parameter_specs.csv,manuscript/scripts/shared/generate_table_s1_parameter_bounds.py,production parameter specifications,YES,Final package must add Host Symbol membership and fixed-constant rows,manuscript/supplement/final_assets/tables/Table_S1/Table_S1.csv,CREATE_FROM_EXISTING_DATA
Table S2,table,R1 timing-threshold and R3 denominator-threshold sensitivity,manuscript/supplement/tables/TableS2_sensitivity_audits.md,manuscript/cache/r1_rebuild_audit_staged/r1_basin_level_ct.csv; manuscript/results/discussion_audit/r3_denominator_sensitivity_audit.csv,manuscript/scripts/shared/generate_table_s2_sensitivity.py,current canonical sensitivity inputs,YES,Final package requires machine-readable Panel A and Panel B with explicit denominator rule,manuscript/supplement/final_assets/tables/Table_S2/Table_S2.md,REGENERATE_FROM_EXISTING_DATA
Table S3,table,Controlled-recovery distributional properties and generating-field construction sensitivity,None,results/reviewer2_robustness/p0_reporting/recovery_denominator_tail_audit.csv; invalid_denominator_strata_breakdown.csv; alt_generating_field/alt_generating_field_summary.json; reviewer2 robustness report,None,reviewer-2 robustness data frozen,YES,No final Table S3 package exists; build only from frozen summaries,manuscript/supplement/final_assets/tables/Table_S3/Table_S3.md,CREATE_FROM_EXISTING_DATA
Figure S1,figure,Leave-one-HUC2-out regional omission robustness,manuscript/supplement/figures/FigureS5_huc2_loro_robustness.png,results/reviewer2_robustness/regional_loro/r1_huc2_loro.csv; r3_huc2_loro.csv; r5_huc2_loro.csv,manuscript/supplement/final_assets/figures/Figure_S1/plot_Figure_S1.py,Existing corrected eight-region asset; source HUC_11-HUC_18,NO,Final numbering changes S5 to S1 while preserving the prior HUC_11-HUC_18 to HUC_01-HUC_08 correction,manuscript/supplement/final_assets/figures/Figure_S1/Figure_S1.png,RENUMBER_ONLY
Figure S2,figure,TGD temperature-response characteristics and fixed-shape sensitivity,manuscript/supplement/figures/FigureS4_tgd_response_shape_sensitivity.png,results/reviewer2_robustness/tgd_response/tgd_response_data.csv; tgd_shape_sensitivity/tgd_shape_sensitivity_basin_metrics.csv,manuscript/supplement/final_assets/figures/Figure_S2/plot_Figure_S2.py,Existing data-backed three-panel asset,NO,Final numbering changes S4 to S2; source data and existing rendering are preserved,manuscript/supplement/final_assets/figures/Figure_S2/Figure_S2.png,RENUMBER_ONLY
Figure S3,figure,Component-wise truth-relative parameter state and flux errors,None,results/r3_misspec_analysis_v1/paired_parameters.csv; state_excess.csv; manuscript/scripts/r3/protocol_misspec_v1.json,manuscript/supplement/final_assets/figures/Figure_S3/plot_Figure_S3.py,Canonical R3 component data exists; prior renderer used an outdated state set,YES,Final figure must use delta_abs_e and canonical WU WL WD Wt Qi Qg variables,manuscript/supplement/final_assets/figures/Figure_S3/Figure_S3.png,CREATE_FROM_EXISTING_DATA
Figure S4,figure,High-snow seasonal liquid-water delivery and tension-water-storage trajectories,manuscript/supplement/figures/FigureS2_R3_seasonal_trajectories.png,manuscript/results/R3/figure6_summary.json; fig6_seasonal/fig6_seasonal_meta.json; input.npz; state.npz,manuscript/supplement/final_assets/figures/Figure_S4/plot_Figure_S4.py,Existing N=133 seasonal asset,NO,Final numbering changes S2 to S4; source has recorded-forward frozen outputs,manuscript/supplement/final_assets/figures/Figure_S4/Figure_S4.png,RENUMBER_ONLY
Figure S5,figure,Outcome-independent external-state examples and population corroboration,manuscript/supplement/figures/FigureS1_R4_multibasin_validation.png,manuscript/supplement/figures/FigureS1_R4_selection_audit.json; FigureS1_R4_population_audit.csv; results/r4_caravan_soil_reference_v1/caravan_soil_ensemble.npz; r4_swe_reference_v1/swe_ensemble.npz,manuscript/supplement/final_assets/figures/Figure_S5/plot_Figure_S5.py,Existing R4 external-state asset with selection audit,NO,Final numbering changes S1 to S5; retain audited example selection and population N,manuscript/supplement/final_assets/figures/Figure_S5/Figure_S5.png,RENUMBER_ONLY
Retired R2 matched-control figure,figure,Matched-control parameter-gradient supplementary figure,manuscript/archive/tables_si_legacy/figures/FigureS5_R3_final.png,manuscript/scripts/r2/plot_r2_fig_s5_tgd2_matched_control.py; r2 parameter-gradient results,manuscript/scripts/r2/plot_r2_fig_s5_tgd2_matched_control.py,Retired by frozen SI architecture,NO,Main parameter figures already cover the repeated parameter-gradient content,manuscript/supplement/final_assets/retired_assets/,RETIRED_FROM_FINAL_SI
Retired R2 TGD parameter distribution figure,figure,TGD2 parallel parameter-distribution supplementary figure,manuscript/archive/tables_si_legacy/figures/FigureS6_R4_interim.png,manuscript/scripts/r2/plot_r2_fig_s6_tgd2_parallel.py; R2 TGD2 parameter results,manuscript/scripts/r2/plot_r2_fig_s6_tgd2_parallel.py,Retired by frozen SI architecture,NO,Main parameter figures already cover repeated Base-TGD parameter distributions,manuscript/supplement/final_assets/retired_assets/,RETIRED_FROM_FINAL_SI
Retired alternative-generating-field figure,figure,Alternative generating-field robustness visualization represented in Table S3 Panel B,manuscript/supplement/figures/FigureS3_alt_generating_field_robustness.png,results/reviewer2_robustness/alt_generating_field/alt_generating_field_summary.json,None,Replaced by final Table S3 Panel B,NO,Keep as source/history; final SI uses machine-readable field-construction comparison,manuscript/supplement/final_assets/retired_assets/,RETIRED_FROM_FINAL_SI
